StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this survey?,"Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How mentally demanding was the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How physically demanding was the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How hurried or rushed was the pace of the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How successful were you in accomplishing what you were asked to do?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How hard did you have to work to accomplish your level of performance?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

There are no right or wrong answers — just your personal experience. - How insecure, discouraged, irritated, stressed, and annoyed were you?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How mentally demanding was the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How physically demanding was the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How hurried or rushed was the pace of the task?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How successful were you in accomplishing what you were asked to do?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How hard did you have to work to accomplish your level of performance?","Please rate your experience with the task using the sliders below.

Each scale ranges from 0 (Very Low) to 100 (Very High).

Move each slider to the point that best represents how you felt while completing the task. 

 There are no right or wrong answers — just your personal experience. - How insecure, discouraged, irritated, stressed, and annoyed were you?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}"
12/1/2025 19:44,12/1/2025 19:45,Survey Preview,,100,74,TRUE,12/1/2025 19:45,R_3V88n8hlUvlI893,,,,,29.7228,-95.4251,preview,EN,Yes,46,40,65,92,31,16,73,37,31,83,43,70
12/2/2025 7:40,12/2/2025 7:41,IP Address,168.5.143.198,100,47,TRUE,12/2/2025 7:41,R_3OFe0nXVd5gbRoB,,,,,29.7228,-95.4251,anonymous,EN,Yes,71,10,60,37,43,25,17,2,10,53,11,10
12/2/2025 7:41,12/2/2025 7:45,IP Address,168.4.151.198,100,222,TRUE,12/2/2025 7:45,R_5q2wA8PRTlBHZ2j,,,,,29.7228,-95.4251,anonymous,EN,Yes,10,1,20,100,10,0,10,0,5,100,0,0
12/2/2025 7:44,12/2/2025 7:50,IP Address,68.129.99.85,100,383,TRUE,12/2/2025 7:50,R_7COdjTkwj9B5DWe,,,,,41.0617,-74.0083,anonymous,EN,Yes,30,10,10,90,40,10,29,5,11,100,40,5
12/2/2025 7:52,12/2/2025 7:54,IP Address,168.5.188.95,100,112,TRUE,12/2/2025 7:54,R_6rHbDFymd5o46lu,,,,,29.7228,-95.4251,anonymous,EN,Yes,49,19,55,42,57,45,50,30,55,60,40,20
12/2/2025 7:55,12/2/2025 8:22,IP Address,128.42.88.92,100,1631,TRUE,12/2/2025 8:22,R_6ItjH7wa5UV9f5g,,,,,29.7228,-95.4251,anonymous,EN,Yes,45,36,58,49,40,56,55,31,50,67,54,46
12/2/2025 8:42,12/2/2025 8:45,IP Address,168.5.139.149,100,155,TRUE,12/2/2025 8:45,R_1ITDjsSwP4zW8V3,,,,,29.7228,-95.4251,anonymous,EN,Yes,31,41,53,71,66,37,9,11,12,95,21,5
12/2/2025 9:04,12/2/2025 9:08,IP Address,76.31.137.73,100,232,TRUE,12/2/2025 9:08,R_11ogZiaTzMjc2XL,,,,,29.7495,-95.4703,anonymous,EN,Yes,30,10,50,100,25,0,20,0,50,100,20,0
